Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Story Focus,Gameplay Focus,Series
Atelier Iris 2: The Azoth Of Destiny,2005,Role-Playing,Tecmo Koei,0.03,0.02,0,0.01,0.06,68,34,7.8,14,Gust,E10+,x,,
Atelier Shallie: Alchemists of the Dusk Sea,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76,26,7.7,44,Gust,E10+,x,,
Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75,32,8.1,47,Gust,N/A,x,,
Atelier Totori: The Adventurer of Arland,2010,Role-Playing,Nippon Ichi Software,0.12,0.06,0.21,0.03,0.42,74,19,6.7,109,Gust,T,x,,
Athens 2004,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27,61,57,7.2,13,Eurocom Entertainment Software,E,,x,
Atomic Betty,2005,Puzzle,Atari,0.02,0.01,0,0,0.03,62,10,7.5,6,"Big Blue Bubble Inc., Breakthrough New Media",E,,x,
Attack of the Movies 3D,2010,Shooter,Majesco Entertainment,0.04,0,0,0,0.04,38,8,1.7,10,Panic Button,T,,x,
Attack on Titan: Humanity in Chains,2013,Action,Screenlife,0,0,0.42,0,0.42,46,22,4.5,34,Spike Chunsoft,M,,x,
ATV Offroad Fury,2001,Racing,Sony Computer Entertainment,2.07,0.26,0,0.08,2.41,82,16,8.4,53,Rainbow Studios,E,,x,
ATV Offroad Fury: Blazin' Trails,2005,Racing,SouthPeak Games,0.53,0,0,0.04,0.57,63,32,7.8,16,Climax Group,E,,x,
ATV Offroad Fury 2,2002,Racing,THQ,1.92,0.2,0,0.06,2.18,82,26,8.9,28,Rainbow Studios,E,,x,
ATV Offroad Fury 3,2004,Racing,SouthPeak Games,1,0.04,0,0.16,1.2,78,37,8.4,16,Climax Group,E,,x,
ATV Quad Power Racing 2,2003,Racing,Acclaim Entertainment,0.22,0.06,0,0.01,0.28,70,18,9,4,Climax Group,E,,x,
Auto Modellista,2002,Racing,Capcom,0.19,0.15,0,0.05,0.39,66,20,7.5,13,Capcom,E,,x,
Avalon Code,2008,Role-Playing,Rising Star Games,0.11,0,0.12,0.01,0.24,71,29,7.4,13,"Matrix Software, Marvelous Entertainment",E10+,x,,
A Vampyre Story,2008,Adventure,Crimson Cow,0,0.01,0,0,0.02,75,33,8.5,25,Autumn Moon,T,,x,
Avatar: The Last Airbender,2006,Adventure,THQ,0.39,0.1,0,0.01,0.5,60,10,6.5,4,AWE Games,E10+,,x,
Avatar: The Last Airbender,2006,Adventure,THQ,0.3,0.01,0,0.03,0.33,64,9,6.4,7,TOSE,E,,x,
Avatar: The Last Airbender,2006,Adventure,THQ,0.23,0.02,0,0.02,0.28,56,15,5.8,8,AWE Games,E10+,,x,
Avatar: The Last Airbender,2006,Adventure,THQ,0.1,0,0,0.01,0.11,57,9,6.3,10,TOSE,E10+,,x,
A Witch's Tale,2009,Role-Playing,Nippon Ichi Software,0.08,0,0.03,0.01,0.11,50,17,6.2,9,"Nippon Ichi Software, Hit Maker",E10+,x,,
Azure Striker Gunvolt,2016,Action,Yacht Club Games,0.01,0,0,0,0.01,77,20,8.4,62,Inti Creates,E10+,,x,
Azurik: Rise of Perathia,2001,Action,Microsoft Game Studios,0.18,0.05,0,0.01,0.24,52,26,8.5,14,Adrenium,T,,x,
Back to the Future: The Game,2011,Adventure,Telltale Games,0.07,0.01,0,0.01,0.09,66,5,6.8,51,Telltale Games,N/A,x,x,
